
TABLE,VEDA_TBL_CP_HWBIN_HIST_202608230854.csv
"BIN_NUMBER","DESCRIPTION","BIN_SPEC","BIN_DEF_NAME","VERSION","CREATE_DATE"
1,Good Bin,G,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
3,Bad_SOTF,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
5,Hbin_Digital_Fuctional,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
8,Hbin_SecondShort,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
9,Hbin_SecondOpen,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
10,HBin_PinLeakage,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
11,Hbin_FirstShort,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
12,Hbin_FirstOpen,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
13,Hbin_Idd,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
15,Hbin_Osc,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
16,HBin_Demod,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
17,Hbin_Limiter,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
18,HBin_Modulator,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
19,HBin_Rectifier_Regulator,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
20,Hbin_Mem_MTP,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
21,Hbin_Mem_Retention,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
22,Hbin_Mem_HV_trim,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
25,Hbin_Testmode_Prodection,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
26,Hbin_DC_Parametic,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
27,Hbin_AnalogTest,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
28,Hbin_Mem_Vcg,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
29,HBin_Current_test,G,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
30,Hbin_Mem_Init,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
31,Hbin_Setup_Test,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
32,Hbin_Sys_Error,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
33,Hbin_ATE_alarm,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
252,PASS_PinCheck,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
254,PASS_BoardCheck,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
253,Bad_PinCheck,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
255,Bad_BoardCheck,B,TMUW83_CPHOUSE_CP1_1,"1",2025-11-24 09:49:17.000
1,Good Bin,G,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
3,Bad_SOTF,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
5,Hbin_Digital_Fuctional,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
8,Hbin_SecondShort,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
9,Hbin_SecondOpen,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
10,HBin_PinLeakage,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
11,Hbin_FirstShort,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
12,Hbin_FirstOpen,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
13,Hbin_Idd,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
15,Hbin_Osc,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
16,HBin_Demod,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
17,Hbin_Limiter,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
18,HBin_Modulator,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
19,HBin_Rectifier_Regulator,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
20,Hbin_Mem_MTP,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
21,Hbin_Mem_Retention,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
22,Hbin_Mem_HV_trim,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
25,Hbin_Testmode_Prodection,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
26,Hbin_DC_Parametic,B,TMUW83_CPHOUSE_CP1_1,"2",2025-11-24 10:53:06.000
